Nome;CPF;telefone;email
Jo�o da Silva;123.456.789-00;(11) 91234-5678;joao.silva@email.com
Maria Oliveira;234.567.890-11;(21) 99876-5432;maria.oliveira@email.com
Carlos Pereira;345.678.901-22;(31) 98765-4321;carlos.pereira@email.com
Ana Souza;456.789.012-33;(41) 97654-3210;ana.souza@email.com
Rodrigo Martins;567.890.123-44;(51) 96543-2109;rodrigo.martins@email.com
Fernanda Lima;678.901.234-55;(61) 95432-1098;fernanda.lima@email.com
Pedro Alves;789.012.345-66;(71) 94321-0987;pedro.alves@email.com
Luciana Costa;890.123.456-77;(81) 93210-9876;luciana.costa@email.com
Marcos Santana;901.234.567-88;(91) 92109-8765;marcos.santana@email.com
Beatriz Ferreira;012.345.678-99;(11) 91098-7654;beatriz.ferreira@email.com
Maria Silva;123.456.789-00;11999999999;maria@email.com

